Index,unR_Count,unR_Area_Mean,unR_Area_Std,unR_Aspect_Ratio_Mean,unR_Aspect_Ratio_Std,dR_Count,dR_Area_Mean,dR_Area_Std,dR_Aspect_Ratio_Mean,dR_Aspect_Ratio_Std,unC_Count,unC_Area_Mean,unC_Area_Std,unC_Aspect_Ratio_Mean,unC_Aspect_Ratio_Std,dC_Count,dC_Area_Mean,dC_Area_Std,dC_Aspect_Ratio_Mean,dC_Aspect_Ratio_Std
43,7,2604.0178571428564,424.0389402600049,1.0930197708945386,0.44431361893782456,1,5295.833333333329,0.0,0.5040650406504061,0.0,0,,,,,0,,,,
23,34,2417.0870442932287,927.9396889177483,0.9981655281544605,0.24300218488691233,5,3243.333333333333,534.3235526819072,0.8417287236974845,0.1668826268336045,0,,,,,0,,,,
38,0,,,,,0,,,,,3,29846.82142568332,5560.950945025591,2.0056265686918215,1.36329064292137,0,,,,
8,5,4213.888888888887,2141.167842542539,0.9488639573035169,0.06907899469972868,0,,,,,4,13662.705411166113,8475.486952824744,1.0421120573813045,0.3121070141778403,0,,,,
12,0,,,,,0,,,,,3,36352.40881235281,2456.7223014515216,0.7556482770496316,0.31137516842508506,1,19150.69444444444,0.0,2.321100917431193,0.0
26,41,2332.584799671901,737.352533198781,1.0169478872402757,0.296203167830182,2,3595.1388888888905,896.5277777777783,0.9782903663500683,0.11261872455902255,5,11160.694444444443,3582.542753012236,0.9803342112433022,0.06493716224299986,0,,,,
34,48,3228.581227736587,1040.2770096112326,1.088128093789294,0.30679799793039086,1,4149.999999999998,0.0,1.1527777777777772,0.0,0,,,,,0,,,,
33,0,,,,,0,,,,,1,39613.194444444445,0.0,0.7224199288256227,0.0,2,55107.98611111112,10447.56944444446,1.227182713029297,0.4677325412079912
29,44,2457.3717645202023,771.328711562443,1.0574796869180456,0.2662402921875795,2,4081.5972222222235,1048.2638888888878,1.2739844425237674,0.34140017286084645,1,33002.08333333333,0.0,1.0092165898617513,0.0,0,,,,
17,39,2721.7214947854454,783.8301512816824,1.0166334792907663,0.2637868341261573,2,3419.4444444444453,469.44444444444,0.6897222222222226,0.12972222222222296,2,6477.430555555555,1169.0972222222208,0.9176997245179064,0.16563360881542705,0,,,,
25,33,2902.9461279461284,1124.634857688698,1.0852611542209851,0.3363045351320452,5,4311.277777777778,1671.272546409686,1.4377028218694883,0.32128321022480694,0,,,,,0,,,,
13,0,,,,,0,,,,,4,32952.938402230975,12479.313853305082,0.9923681677678904,0.33209914571867505,0,,,,
15,1,2324.999999999998,0.0,0.8709677419354845,0.0,0,,,,,4,30366.58806567661,16609.225803572437,0.7470984063051318,0.1461755555202525,1,15016.666666666668,0.0,1.1691176470588234,0.0
4,5,3251.388888888889,1232.848378129602,0.9753594212804739,0.13333829702677938,2,5249.305555555555,1436.8055555555554,1.4365000987556786,0.03890973730989522,3,29061.287818964454,17299.045315745447,1.8423508961902604,0.4887579607949926,3,15987.962962962962,3907.1219945787757,1.4834701412583036,0.8719169866046584
5,25,2206.944444444445,718.3143204495943,1.3677025522722388,0.5137455564864805,9,2527.2376543209884,1222.655155233835,1.1986581946554997,0.35663593193364784,3,6876.157407407405,1168.9712595812728,0.5300992658135514,0.06115038222900195,1,25299.999999999996,0.0,1.7569444444444442,0.0
7,43,1540.1647286821708,555.7866511083373,0.6410880372236133,0.18658558056650584,4,3929.166666666666,622.8721494064159,0.4261198438382903,0.15864716226816764,6,10787.913773148148,2020.8367299935014,1.0793048393866107,0.4228721175415841,1,7819.369725738404,0.0,0.4540229885057473,0.0
21,0,,,,,0,,,,,2,39179.16666666667,3097.9166666666642,0.8207755060344702,0.003925689184653303,2,31152.083333333336,4575.694444444443,1.1452169879393876,0.06264818059993793
20,0,,,,,0,,,,,2,18618.080828059068,9927.752505274262,0.6366614741735283,0.20496748510248983,2,50356.25000000001,23506.250000000004,1.058030317880362,0.14867359273416292
6,27,2284.835928288714,667.7370194599906,1.3117136930425435,0.6905969725525016,2,3030.902777777779,344.0972222222208,1.363679245283019,0.013679245283019004,5,11262.5,5670.671191929159,0.9314721850100651,0.14307403150321554,3,6924.407819634701,811.0586552267177,1.2974809935886202,0.3646239121848037
14,14,2214.479157342761,607.5295950146957,1.1789109608165724,0.5974857559153991,0,,,,,0,,,,,0,,,,
37,32,2543.9019097222226,720.6052389461404,1.1475656258364129,0.2853448805773324,1,6722.222222222226,0.0,1.5125000000000002,0.0,0,,,,,0,,,,
39,38,2722.7157508583728,605.3211573599564,1.027055327421392,0.17527021344558777,1,7004.423945783127,0.0,1.4819277108433724,0.0,7,6188.59126984127,3441.0067662230394,1.111514469174794,0.16727277975997154,1,5805.555555555556,0.0,0.9263157894736838,0.0
24,0,,,,,0,,,,,2,27340.27777777778,18552.77777777778,0.7399533040894297,0.2870737229375972,1,39506.525036549705,0.0,1.584210526315789,0.0
16,1,1827.7777777777771,0.0,1.191489361702126,0.0,0,,,,,6,11541.319444444447,5744.228794212931,0.8631033317345899,0.2379366055243806,0,,,,
2,54,2634.962901842243,1109.7968336203746,0.8302648039915591,0.4899418925006501,14,2870.7503702772196,914.161495524877,0.7313685245916401,0.1694317530224785,1,5277.777777777772,0.0,0.8421052631578947,0.0,0,,,,
27,2,1975.0000000000005,574.9999999999995,1.2773109243697482,0.13445378151260468,0,,,,,0,,,,,1,20777.77777777778,0.0,0.8556149732620324,0.0
1,35,3546.362928416374,1644.738937183862,0.9960331376385566,0.42449434687587084,9,3759.953703703705,713.4085758699774,0.9486759714569651,0.12448875189197542,0,,,,,0,,,,
28,2,4566.666666666668,1452.0833333333333,0.9092739036664268,0.15226455787203436,0,,,,,1,9644.444444444434,0.0,0.9032258064516123,0.0,0,,,,
41,9,3549.2283950617293,1503.4215750188403,0.8540687702356239,0.2519315355232959,1,8112.500000000001,0.0,1.191919191919192,0.0,0,,,,,0,,,,
3,15,2871.660222229899,809.5035442015061,0.7798541202308992,0.21532919504989553,5,3668.669171220401,1802.6918733479033,0.7585343488802607,0.2946274847349247,0,,,,,0,,,,
9,0,,,,,0,,,,,0,,,,,4,21826.388888888887,5878.39137405846,0.9023504725631257,0.5176855285065053
22,0,,,,,0,,,,,4,39391.2109375,21540.857125757186,1.1702148522114237,0.34171521857771947,2,22898.524305555555,12543.836805555555,1.1511387163561073,0.8178053830227741
40,33,2641.6743970315397,680.8387764596633,1.2510474957460298,0.3032920188989136,2,6463.888888888888,86.11111111111313,1.5926490514905152,0.2267953929539297,1,18050.694444444456,0.0,0.7433155080213905,0.0,0,,,,
46,0,,,,,0,,,,,5,27862.708333333332,14915.174896956125,1.5314337272842795,0.6332311367451147,3,30614.351851851865,9297.194909396016,0.7071532146522109,0.10964793328717505
19,4,2396.0069444444443,540.6539622853047,1.2790596719057017,0.2960992060598043,1,3597.2222222222217,0.0,0.9459459459459462,0.0,3,26388.110606856997,11241.143884813804,1.8390939670911328,1.775717559623072,0,,,,
30,0,,,,,0,,,,,1,28048.60998376622,0.0,1.7597402597402587,0.0,0,,,,
45,24,1668.8054591049383,682.5557555694251,0.9734713731626577,0.23156403743058426,3,4927.777777777778,866.2956233272138,1.3149296939619515,0.056203002254216226,0,,,,,0,,,,
32,36,1743.5763888888885,494.939816325084,0.8698305265225098,0.28224028914352955,4,3467.5347222222217,611.3279632217864,1.2910656270305387,0.4254584166982607,0,,,,,0,,,,
36,45,2996.031098169123,712.5510379959372,1.0253978483036934,0.2556634482893643,4,5197.894650764894,691.6417898066958,0.7936450865627248,0.18291712956892484,3,5533.333333333335,2043.760264443587,0.8107294794794796,0.28833904109391856,0,,,,
18,19,2250.2938571109485,980.2221865686741,0.9391980678272805,0.332638191453422,1,2770.8333333333326,0.0,0.8142857142857145,0.0,0,,,,,0,,,,
35,32,2044.6180555555557,590.091831414666,0.9306175850230554,0.3750829359041919,1,4419.023980034724,0.0,1.5781249999999996,0.0,9,5226.068418064292,2489.813565402707,0.7587495886306189,0.4107522442516937,2,4393.055555555556,601.3888888888862,0.7159593280282937,0.18147656940760443
44,0,,,,,0,,,,,2,60872.91666666667,16404.86111111112,1.6077303884234575,0.03842345773038858,1,17363.888888888876,0.0,0.7074468085106379,0.0
11,46,2424.7568783542374,1053.1280503100604,1.093530602540346,0.37711417573957595,4,4612.847222222223,670.4674101195443,0.991190613750896,0.1344660952538331,2,9831.944444444438,3234.7222222222244,0.9616899391335478,0.09094163981382014,0,,,,
10,48,3126.302083333334,1146.6832971366293,1.105490966636876,0.5202196686741906,6,4492.302774044205,2056.7795347021083,0.9639418978293656,0.20630818441724072,0,,,,,0,,,,
42,8,2067.5347222222217,374.52753641151423,1.1474523755530481,0.3440500599910358,1,6386.111111111114,0.0,1.5921052631578951,0.0,2,34212.44884672618,24420.782180059523,0.861547619047619,0.2348809523809523,0,,,,
31,30,2448.2969756441225,624.5662441597746,0.7618970707540244,0.25960796976355077,2,4617.708333333334,973.9583333333348,0.5381685709554562,0.002815035601920923,0,,,,,0,,,,
0,0,,,,,0,,,,,7,15607.037180814359,23305.98577097041,0.8205404274662718,0.30522051211290635,2,21557.951354166667,9182.951354166666,0.7254504504504504,0.1754504504504505
